Ticker,DateKey,month_end_close,monthly_high,monthly_low,total_volume,monthly_return
AAPL,201306,56.6471,64.9185,55.5528,1753831331,-11.830288352285988
AAPL,201307,64.6471,65.3346,57.3171,1632581104,14.122523483108566
AAPL,201308,69.6022,73.3914,64.7514,2011059869,7.66484498144542
AAPL,201309,68.1071,72.5599,63.8885,2153904130,-2.1480642853243053
AAPL,201310,74.6716,77.0356,68.3256,1958084716,9.638495839640795
AAPL,201311,79.4385,79.7613,73.1971,1306486944,6.383819283368787
AAPL,201312,80.1456,82.1622,76.9714,1764561113,0.8901225476311826
AAPL,201401,71.5142,80.0285,70.5071,2203698567,-10.769649238386137
AAPL,201402,75.1771,78.7413,71.3285,1473553403,5.12191984249281
AAPL,201403,76.6771,78.4285,74.6871,1251732447,1.9952884588524966
AAPL,201404,84.2985,85.6328,73.0471,1608767685,9.939603871299266
AAPL,201405,90.4285,92.0242,82.9042,1434124272,7.271778264144671
AAPL,201406,92.93,95.05,88.9285,1207232813,2.766273907009413
AAPL,201407,95.6,99.44,92.57,1035409432,2.873130313138908
AAPL,201408,102.5,102.9,93.28,937029111,7.217573221757329
AAPL,201409,100.75,103.74,96.14,1527937649,-1.707317073170732
AAPL,201410,108.0,108.04,95.18,1360280122,7.196029776674938
AAPL,201411,118.93,119.75,107.72,820471729,10.120370370370377
AAPL,201412,110.38,119.25,106.26,1073775862,-7.189102833599606
AAPL,201501,117.16,120.0,104.63,1305263613,6.142417104547927
AAPL,201502,128.46,133.6,116.08,1136535493,9.644930010242414
AAPL,201503,124.43,130.28,121.63,1138641910,-3.13716331932119
AAPL,201504,125.15,134.54,123.1,996135511,0.5786385919794252
AAPL,201505,130.28,132.97,123.36,954152126,4.099081102676784
AAPL,201506,125.425,131.39,124.48,878606841,-3.726588885477436
AAPL,201507,121.3,132.97,119.22,1058280697,-3.288818018736297
AAPL,201508,112.76,122.57,92.0,1607287267,-7.04039571310799
AAPL,201509,110.3,116.89,107.36,1206547333,-2.18162468960625
AAPL,201510,119.5,121.22,107.31,1113703829,8.340888485947419
AAPL,201511,118.3,123.82,111.0,750640573,-1.0041841004184124
AAPL,201512,105.26,119.86,104.82,922626259,-11.022823330515632
AAPL,201601,97.34,105.85,92.39,1271848087,-7.524225726771805
AAPL,201602,96.69,98.89,92.59,810862547,-0.6677624820217851
AAPL,201603,108.99,110.42,97.42,746136466,12.721067328575858
AAPL,201604,93.74,112.39,92.51,872383623,-13.992109367831912
AAPL,201605,99.86,100.73,89.47,901144768,6.528696394282061
AAPL,201606,95.6,101.89,91.5,780630235,-4.265972361305833
AAPL,201607,104.21,104.55,94.37,685779613,9.006276150627615
AAPL,201608,106.1,110.23,104.0,630128567,1.8136455234622404
AAPL,201609,113.05,116.18,102.53,970096738,6.550424128180965
AAPL,201610,113.54,118.69,112.28,686914224,0.43343653250774805
AAPL,201611,110.52,113.77,104.08,721554967,-2.6598555575127794
AAPL,201612,115.82,118.0166,108.25,608771645,4.79551212450235
AAPL,201701,121.35,122.44,114.76,563331160,4.774650319461235
AAPL,201702,136.99,137.48,127.01,574968547,12.888339513803063
AAPL,201703,143.66,144.5,137.05,562091214,4.868968537849469
AAPL,201704,143.65,145.46,140.06,373290435,-0.006960879855207368
AAPL,201705,152.76,156.65,144.27,654022901,6.341802993386693
AAPL,201706,144.02,155.98,142.2,684178036,-5.721393034825859
AAPL,201707,148.73,153.99,142.41,422011831,3.270379114011928
AAPL,201708,164.0,164.52,154.63,646894310,10.266926645599415
AAPL,201709,154.12,164.94,149.16,680442092,-6.024390243902436
AAPL,201710,169.04,169.6499,152.46,504291118,9.68076823254606
AAPL,201711,171.85,176.24,165.28,600366443,1.6623284429720788
AAPL,201712,169.23,177.2,166.46,531184058,-1.5245853942391647
AAPL,201801,167.43,180.1,164.7,659679440,-1.0636411983690734
AAPL,201802,159.54,168.62,154.0,326415552,-4.712417129546685
ABBV,201302,36.92,39.13,35.01,112921716,
ABBV,201303,40.78,40.8,36.551,122192214,10.45503791982665
ABBV,201304,46.05,46.32,39.96,176090272,12.923001471309457
ABBV,201305,42.69,48.0,42.6825,119553298,-7.296416938110749
ABBV,201306,41.34,44.47,40.1,107878784,-3.1623330990864242
ABBV,201307,45.48,45.91,41.07,85648567,10.014513788098677
ABBV,201308,42.61,45.9,42.25,78314838,-6.310466138962176
ABBV,201309,44.73,48.42,42.31,94904034,4.975357897207222
ABBV,201310,48.45,50.2,44.32,117966886,8.31656606304495
ABBV,201311,48.45,49.96,46.83,88610940,0.0
ABBV,201312,52.81,54.78,48.02,142946519,8.998968008255932
ABBV,201401,49.23,52.7,46.42,163965597,-6.779019125165699
ABBV,201402,50.91,52.11,46.95,121062527,3.412553321145643
ABBV,201403,51.4,54.73,49.79,122231827,0.9624828128069183
ABBV,201404,52.08,54.44,45.5,154860337,1.3229571984435793
ABBV,201405,54.33,54.61,50.31,92470150,4.320276497695852
ABBV,201406,56.44,56.9,52.29,122892565,3.8836738450211663
ABBV,201407,52.34,58.27,51.82,325955460,-7.264351523742017
ABBV,201408,55.28,55.94,51.37,213146828,5.617118838364535
ABBV,201409,57.76,60.02,54.83,241528330,4.486251808972498
ABBV,201410,63.46,63.99,52.06,466044277,9.868421052631584
ABBV,201411,69.2,69.48,61.31,121411653,9.045067759218409
ABBV,201412,65.44,70.76,64.02,157665404,-5.4335260115607005
ABBV,201501,60.35,68.29,60.12,167925857,-7.778117359413198
ABBV,201502,60.5,61.9,55.18,258899242,0.24855012427505976
ABBV,201503,58.54,61.73,54.78,293361775,-3.2396694214876045
ABBV,201504,64.66,66.66,56.33,261303103,10.454390160573961
ABBV,201505,66.59,67.99,63.4,219975274,2.9848437983297353
ABBV,201506,67.19,70.75,66.1,211736129,0.9010361916203549
ABBV,201507,70.01,71.6,67.32,181339534,4.197053132906694
ABBV,201508,62.41,70.79,53.87,221581026,-10.8555920582774
ABBV,201509,54.41,62.28,51.88,241249346,-12.818458580355713
ABBV,201510,59.55,60.73,45.45,267052568,9.446792868957914
ABBV,201511,58.15,64.3,57.9601,158003518,-2.350965575146933
ABBV,201512,59.24,60.12,53.24,160606497,1.8744625967325939
ABBV,201601,54.9,59.81,50.71,217736110,-7.326130992572591
ABBV,201602,54.61,57.31,51.6,183337851,-0.5282331511839693
ABBV,201603,57.12,57.87,54.24,141152932,4.596227797106754
ABBV,201604,61.0,62.1,56.36,140377868,6.792717086834739
ABBV,201605,62.93,63.87,58.5,206075202,3.1639344262295075
ABBV,201606,61.91,65.37,58.329,211647191,-1.620848561894173
ABBV,201607,66.23,66.4,61.77,153745568,6.977871103214356
ABBV,201608,64.1,68.1239,63.5,150348324,-3.216065227238426
ABBV,201609,63.07,65.33,62.45,137691460,-1.6068642745709738
ABBV,201610,55.78,63.75,55.0623,133970519,-11.558585698430313
ABBV,201611,60.8,65.05,55.68,195496801,8.99964144854786
ABBV,201612,62.62,63.33,58.75,149415214,2.9934210526315796
ABBV,201701,61.11,64.5,59.27,156335976,-2.411370169274989
ABBV,201702,61.84,62.4,60.05,126886726,1.1945671739486237
ABBV,201703,65.16,66.79,61.95,143066152,5.368693402328579
ABBV,201704,65.94,67.5,63.1153,103923723,1.1970534069981602
ABBV,201705,66.02,67.4,64.61,124444304,0.1213224143160423
ABBV,201706,72.51,73.67,66.12,131258676,9.83035443804909
ABBV,201707,69.91,75.04,69.38,99934538,-3.5857123155426955
ABBV,201708,75.3,75.4,69.47,97305925,7.709912744957805
ABBV,201709,88.86,90.95,74.73,192331169,18.00796812749004
ABBV,201710,90.25,98.26,85.24,138207024,1.5642583839747926
ABBV,201711,96.92,97.53,90.19,100958346,7.390581717451525
ABBV,201712,96.71,99.1,92.9,85781411,-0.2166735451919191
ABBV,201801,112.22,125.86,96.75,143369218,16.037638300072388
ABBV,201802,113.62,117.93,101.0,51094356,1.2475494564248848
ABC,201302,47.2,47.51,46.08,23734147,
ABC,201303,51.45,52.15,46.89,56633886,9.004237288135593
ABC,201304,54.12,56.91,51.29,67539716,5.189504373177832
ABC,201305,54.08,55.48,53.22,46117754,-0.0739098300073894
ABC,201306,55.83,56.39,52.38,57745356,3.23594674556213
ABC,201307,58.27,59.3,54.4,43667597,4.370410173741725
ABC,201308,56.92,59.75,56.24,33353477,-2.3168010983353375
ABC,201309,61.1,62.44,57.21,22200552,7.343640196767392
ABC,201310,65.33,65.98,60.78,31049340,6.923076923076918
ABC,201311,70.53,71.16,65.16,28489336,7.959589774988525
ABC,201312,70.31,71.38,67.74,33243273,-0.31192400396994024
ABC,201401,67.22,71.92,66.13,39094330,-4.39482292703741
ABC,201402,67.85,69.22,64.28,34264723,0.937221065159172
ABC,201403,65.59,69.65,63.5299,38435015,-3.330876934414136
ABC,201404,65.18,66.81,62.55,42956918,-0.6250952889159881
ABC,201405,73.18,73.57,63.85,44089465,12.273703590058298
ABC,201406,72.66,73.81,71.0,31267363,-0.7105766602897106
ABC,201407,76.91,79.13,72.011,32777692,5.84916047343793
ABC,201408,77.39,77.92,74.66,27003706,0.6241060980366715
ABC,201409,77.3,78.5992,75.71,28143822,-0.11629409484429952
ABC,201410,85.41,88.78,74.32,44449571,10.491591203104786
ABC,201411,91.05,91.59,85.58,31704792,6.603442219880577
ABC,201412,90.16,92.84,89.255,32705162,-0.9774848984074691
ABC,201501,95.05,100.2,89.52,44111147,5.423691215616682
ABC,201502,102.76,103.705,93.6,33072373,8.111520252498694
ABC,201503,113.67,114.73,102.0,44470376,10.616971584274033
ABC,201504,114.3,120.68,111.41,38214886,0.5542359461599327
ABC,201505,112.56,116.28,112.56,41603484,-1.5223097112860848
ABC,201506,106.34,113.76,105.78,38558567,-5.525941719971569
ABC,201507,105.75,115.41,104.1333,43473514,-0.5548241489561815
ABC,201508,100.04,107.85,91.48,43908752,-5.399527186761223
ABC,201509,94.99,108.18,94.07,42481718,-5.04798080767694
ABC,201510,96.51,102.64,90.82,69719328,1.6001684387830406
ABC,201511,98.64,100.86,96.22,35878270,2.2070251787379496
ABC,201512,103.71,105.807,98.03,40738147,5.13990267639902
ABC,201601,89.56,103.4,87.09,60278247,-13.643814482692115
ABC,201602,86.62,89.89,80.5,58846453,-3.2827154979901714
ABC,201603,86.55,89.77,85.41,44630529,-0.08081274532441397
ABC,201604,85.1,92.48,84.0499,49937816,-1.6753321779318346
ABC,201605,74.98,86.07,73.31,69425841,-11.89189189189188
ABC,201606,79.32,79.33,73.44,55333140,5.788210189383821
ABC,201607,85.19,87.05,79.1095,39947391,7.400403429147762
ABC,201608,86.97,90.54,85.11,44165451,2.0894471182063636
ABC,201609,80.78,88.439,79.34,47872265,-7.117396803495455
ABC,201610,70.32,81.765,68.38,49115937,-12.948749690517463
ABC,201611,77.99,82.58,68.705,81570795,10.90728100113766
ABC,201612,78.19,80.24,73.86,40754789,0.2564431337350979
ABC,201701,87.28,87.84,78.31,51240937,11.625527561069195
ABC,201702,91.51,94.5,86.09,40010071,4.846471127406054
ABC,201703,88.5,92.807,85.22,37417238,-3.289258004589668
ABC,201704,82.05,89.25,79.4,31018401,-7.288135593220342
ABC,201705,91.77,91.79,81.07,37810953,11.846435100548446
ABC,201706,94.53,97.85,91.025,26682982,3.007518796992487
ABC,201707,93.82,95.68,90.3,20888392,-0.7510843118586776
ABC,201708,80.25,92.19,77.69,47467537,-14.463866979322098
ABC,201709,82.75,84.805,78.3399,29041307,3.115264797507788
ABC,201710,76.95,85.8,75.46,45587442,-7.009063444108758
ABC,201711,84.82,86.1,71.9,47167474,10.227420402858986
ABC,201712,91.82,94.44,81.2076,34932880,8.252770572978072
ABC,201801,99.67,106.27,92.12,33372646,8.549335656719679
ABC,201802,94.22,99.81,86.9403,13810080,-5.468044547005119
ABT,201302,33.79,35.29,33.79,125701686,
ABT,201303,35.32,35.34,33.27,147924265,4.52796685409885
ABT,201304,36.92,37.55,34.95,154942513,4.530011325028316
ABT,201305,36.67,38.77,35.58,158665178,-0.6771397616468039
ABT,201306,34.88,37.64,34.69,146867919,-4.881374420507225
ABT,201307,36.63,37.16,33.72,156751422,5.0172018348623855
ABT,201308,33.33,37.07,33.23,132761824,-9.00900900900902
ABT,201309,33.19,35.72,32.7,175887449,-0.42004200420042176
ABT,201310,36.55,37.62,32.75,190012208,10.123531184091593
ABT,201311,38.19,38.81,36.61,123311543,4.487004103967171
ABT,201312,38.33,38.57,36.27,119129683,0.3665881120712243
ABT,201401,36.66,39.86,35.65,168385158,-4.3569006000521835
ABT,201402,39.78,39.98,35.8,166792296,8.510638297872354
ABT,201403,38.51,40.49,38.08,178349783,-3.1925590749120243
ABT,201404,38.74,39.5,36.65,158570973,0.5972474681900908
ABT,201405,40.01,40.13,38.25,112562425,3.278265358802261
ABT,201406,40.9,41.3,39.59,111959877,2.2244438890277447
ABT,201407,42.12,43.27,40.92,124625922,2.982885085574569
ABT,201408,42.24,42.88,41.151,75705206,0.28490028490029573
ABT,201409,41.59,44.2,41.59,96647850,-1.5388257575757542
ABT,201410,43.59,44.06,39.28,129634560,4.808848280836739
ABT,201411,44.51,44.77,43.02,79730049,2.110575820142222
ABT,201412,45.02,46.5,43.1,110977621,1.1458099303527414
ABT,201501,44.76,45.87,43.355,116078043,-0.5775211017325746
ABT,201502,47.37,47.88,44.28,112823090,5.831099195710455
ABT,201503,46.33,47.85,46.1,113588158,-2.1954823728097934
ABT,201504,46.42,48.62,45.545,98184964,0.1942585797539465
ABT,201505,48.6,49.43,46.23,89226772,4.696251615682895
ABT,201506,49.08,50.47,47.72,108410887,0.9876543209876478
ABT,201507,50.69,51.74,48.92,118347107,3.280358598207008
